Tier,Center_MAU,Center_Revenue
Tier 1,1050241.1197933787,2168934272147.8352
Tier 2,345987.5347552603,31164462703.429337
Tier 3,22501.468973089173,256776560396.14685
Tier 4,29745.286990828983,15214934122.890198
Tier 5,3454.233926264057,10156192558.236227
