Account,Annual Revenue,MAU,Vertical,MGR,commited mrr delta,total net mrr (ae),Tier
티시스 태광컨트리클럽사업부,"321,333,960,000","51,854",여행 & 숙박 | Travel & Hospitality,"600,000",,,Tier 3
시디즈,"206,600,000,000","194,878",커머스 | Commerce,"2,000,000",,,Tier 2
MDSKorea,"103,048,170,000","5,711",B2B & 솔루션 | B2B & Solutions,"200,000","216,783","216,783",Tier 3
(주)미쥬,"30,800,000,000","2,417",커머스 | Commerce,"700,000",,,Tier 5
만트럭버스코리아,"205,665,000,000","13,737",렌탈 & 모빌리티 | Rental & Mobility,"2,000,000","1,800,000","1,800,000",Tier 3
컨셉에이,"3,900,000,000","28,592",커머스 | Commerce,"500,000","542,137","542,137",Tier 4
아이티엑스코리아 (자라),"611,900,000,000","3,768",커머스 | Commerce,"3,000,000",,,Tier 3
삼사오성형외과의원,"7,000,000,000","18,770",헬스케어 | Healthcare,"700,000","399,637","399,637",Tier 4
세기P&C,"40,100,000,000","225,644",커머스 | Commerce,"700,000","714,750","714,750",Tier 2
동원F&B (동원에프앤비),"4,023,580,000,000","22,217",커머스 | Commerce,"2,000,000","3,000,098","3,000,098",Tier 3
해주세요컴퍼니,"5,000,000,000","5,980",기타 | Others,"600,000",,,Tier 5
위니아에이드,"113,800,000,000","95,618",기타 | Others,"2,000,000",,,Tier 3
안나앤블루,"15,000,000,000","107,385",커머스 | Commerce,"700,000",,,Tier 4
더에스제이,"8,900,000,000","2,047",커머스 | Commerce,"700,000",,,Tier 5
아이덱스,"5,500,000,000",-,B2B & 솔루션 | B2B & Solutions,"300,000","443,595","443,595",
젤리켓코리아유한회사,"629,000,000,000","57,616",커머스 | Commerce,"1,100,000","2,309,000","2,309,000",Tier 3
(주)원로그,"14,933,710,000","265,335",커머스 | Commerce,"700,000","476,250","476,250",Tier 2
SSG 랜더스샵 by CORE,"28,000,000,000","2,591",기타 | Others,"700,000","523,250","523,250",Tier 5
옵티컴윤,"8,800,000,000","3,583",커머스 | Commerce,"700,000","257,250","257,250",Tier 5
자코모,"110,400,000,000","275,664",커머스 | Commerce,"3,000,000",,,Tier 2
준텔레콤,"24,800,000,000",260,전문 산업군 | Professional Services,"2,000,000",,,Tier 5
리브애니웨어,"14,000,000,000","163,507",커머스 | Commerce,"1,500,000","1,479,000","1,479,000",Tier 2
바램시스템,"7,200,000,000","43,903",커머스 | Commerce,"700,000","651,750","651,750",Tier 4
린인터내셔널,"5,000,000,000","4,113",B2B & 솔루션 | B2B & Solutions,"700,000","250,067","250,067",Tier 5
캐시닥,"2,457,890,000","365,355",헬스케어 | Healthcare,"1,000,000",,,Tier 2
제이준성형외과,-,"59,201",헬스케어 | Healthcare,"800,000",,,
(주)에이원오토,"22,173,399,000","28,949",렌탈 & 모빌리티 | Rental & Mobility,"1,000,000","979,500","979,500",Tier 4
경북대학교병원,"685,387,580,000","96,348",헬스케어 | Healthcare,"2,000,000",,,Tier 3
다림개발,"18,200,000,000","104,384",여행 & 숙박 | Travel & Hospitality,"700,000",,,Tier 4
인성데이타,"15,000,000,000","34,075",제조 & 유통 | Manufacturing & Distribution,"1,500,000","367,500","367,500",Tier 4
"기웅정보통신, 이지엠소프트 (합병)","20,000,000,000","268,821",B2B & 솔루션 | B2B & Solutions,"1,500,000","1,131,562","1,131,562",Tier 2
주식회사 와이즐리,"47,700,000,000","229,366",커머스 | Commerce,"2,000,000","1,281,000","1,281,000",Tier 2
비기닝리테일,"19,000,000,000","3,661",커머스 | Commerce,"500,000","519,750","519,750",Tier 5
아톤,"34,400,000,000","12,882",B2B & 솔루션 | B2B & Solutions,"1,500,000",,,Tier 4
CJ씨푸드,"193,701,000,000","4,583",커머스 | Commerce,"2,000,000",,,Tier 3
블리비홀딩스,"9,300,000,000","124,058",헬스케어 | Healthcare,"2,000,000",,,Tier 4
한국에너지서비스,"5,500,000,000","4,011",B2B & 솔루션 | B2B & Solutions,"700,000","470,250","470,250",Tier 5
귀뚜라미홀딩스,"324,400,000,000","140,178",제조 & 유통 | Manufacturing & Distribution,"3,000,000","1,500,000","1,500,000",Tier 3
대상다이브스,"156,888,000,000","13,012",제조 & 유통 | Manufacturing & Distribution,"1,000,000","465,000","465,000",Tier 3
(주)농협목우촌 이커머스사업부,"740,700,000,000","30,195",커머스 | Commerce,"1,000,000",,,Tier 3
빅퍼스,"6,800,000,000","9,014",제조 & 유통 | Manufacturing & Distribution,"700,000","369,750","369,750",Tier 5
모두투어,"251,500,000,000","2,438,000",여행 & 숙박 | Travel & Hospitality,"2,000,000","2,324,000","2,324,000",Tier 1
나눔에이치앤씨,"5,300,000,000","2,506",커머스 | Commerce,"700,000",,,Tier 5
더갓,"14,900,000,000","5,676",제조 & 유통 | Manufacturing & Distribution,"1,200,000","598,500","598,500",Tier 5
이룸플레이스,"37,880,000","10,525",여행 & 숙박 | Travel & Hospitality,"400,000","600,000","600,000",Tier 5
톡톡폰,"6,800,000,000","6,561",커머스 | Commerce,"700,000",,,Tier 5
엑스포럼,"11,000,000,000","3,151",B2B & 솔루션 | B2B & Solutions,"800,000",,"36,000",Tier 5
이노바인코리아,"35,400,000,000","204,517",커머스 | Commerce,"1,000,000",,,Tier 2
팀플러스,"10,400,000,000",277,커머스 | Commerce,"1,400,000","3,333,720","3,333,720",Tier 5
아이디에스앤트러스트,"19,405,803,000","5,816",B2B & 솔루션 | B2B & Solutions,"700,000",,,Tier 5
동주메탈,"7,775,280,000","3,063",B2B & 솔루션 | B2B & Solutions,"1,000,000",,,Tier 5
무버스앤메이커스,"8,500,000,000","322,529",커머스 | Commerce,"1,000,000",,,Tier 2
드림디포문구유통,"55,600,000,000","94,618",커머스 | Commerce,"1,500,000",,,Tier 2
해빗팩토리,"13,000,000,000","7,911",기타 | Others,"2,000,000",,,Tier 5
주식회사 원밀리언,"5,000,000,000","43,616",기타 | Others,"600,000",,,Tier 4
유유테이진,"20,399,089,000","3,194",헬스케어 | Healthcare,"2,000,000",,,Tier 5
풍산화동양행,"13,486,170,000","47,085",커머스 | Commerce,"500,000","1,267,145","1,267,145",Tier 4
프리즘,"50,100,000,000","58,309",커머스 | Commerce,"700,000","1,086,050","1,086,050",Tier 4
혼다 코리아,"334,400,000,000","480,316",렌탈 & 모빌리티 | Rental & Mobility,"1,500,000",,"621,000",Tier 1
씨티알에너지,"13,431,529,000","2,468",B2B & 솔루션 | B2B & Solutions,"500,000","860,302","860,302",Tier 5
레드버튼,"20,290,485,000","46,987",기타 | Others,"800,000","644,250","644,250",Tier 4
에프45트레이닝,"170,000,000,000","10,616",기타 | Others,"2,000,000",,"1,000,000",Tier 3
리더스영상의학과의원,"7,493,000,000","2,973",헬스케어 | Healthcare,"600,000",,,Tier 5
프린팅박스,"9,300,000,000","74,016",B2B & 솔루션 | B2B & Solutions,"800,000",,,Tier 4
발루코퍼레이션,"7,000,000,000","15,711",커머스 | Commerce,"600,000","500,111","500,111",Tier 4
평안,"25,000,000,000","92,555",커머스 | Commerce,"1,000,000",,,Tier 4
감성코퍼레이션,"220,400,000,000","700,652",커머스 | Commerce,"1,500,000","358,387","358,387",Tier 2
자연물질연구소,"15,000,000,000","16,483",커머스 | Commerce,"700,000",,,Tier 4
스코컴퍼니,"10,919,995,000","195,217",커머스 | Commerce,"800,000","1,300,042","1,300,042",Tier 2
포유디지탈,"40,000,000,000","39,161",B2B & 솔루션 | B2B & Solutions,"1,500,000","474,750","474,750",Tier 4
지나송,"8,900,000,000","2,566",커머스 | Commerce,"500,000","307,095","307,095",Tier 5
이지넷유비쿼터스,"25,100,000,000","41,743",B2B & 솔루션 | B2B & Solutions,"1,200,000",,,Tier 4
제주유나이티드에프씨,"23,400,000,000","20,358",기타 | Others,"700,000","1,000,000","1,000,000",Tier 4
롯데의료재단,"55,000,000,000","31,905",헬스케어 | Healthcare,"1,000,000","1,000,000","1,000,000",Tier 4
세이브더칠드런,"99,700,000,000","628,688",기타 | Others,"1,500,000",,"1,620,750",Tier 2
대한민국군인공제회,"1,399,000,000,000","145,490",기타 | Others,"2,000,000",,,Tier 1
에이치엔에이치컴퍼니,"11,400,000,000","16,229",렌탈 & 모빌리티 | Rental & Mobility,"1,000,000",,,Tier 4
제이디글로벌,"5,776,492,000","57,660",B2B & 솔루션 | B2B & Solutions,"500,000","532,432","532,432",Tier 4
비즈마켓,"52,400,000,000","13,309",렌탈 & 모빌리티 | Rental & Mobility,"1,000,000","2,000,000","2,000,000",Tier 4
이화학당,"897,981,000,000","1,488,000",교육 | Education,"1,500,000",,,Tier 1
호식이두마리치킨,"173,700,000,000","21,046",기타 | Others,"1,000,000",,,Tier 3
홈스토리생활,"2,200,000,000","3,655",전문 산업군 | Professional Services,"500,000","1,800,000","1,800,000",Tier 5
케이원에이브이,"17,239,940,000","12,567",커머스 | Commerce,"700,000","606,000","606,000",Tier 4
샌드박스네트워크,"63,000,000,000","87,621",B2B & 솔루션 | B2B & Solutions,"3,000,000",,,Tier 2
칼라미디어,"5,200,000,000","14,164",렌탈 & 모빌리티 | Rental & Mobility,"500,000","493,387","493,387",Tier 4
드림어스컴퍼니,"185,900,000,000","18,330",기타 | Others,"1,000,000","4,056,500","4,056,500",Tier 3
경동제약,"95,200,000,000","11,620",헬스케어 | Healthcare,"600,000",,,Tier 3
케이엠,"106,010,044,000","13,596",제조 & 유통 | Manufacturing & Distribution,"1,000,000","195,750","195,750",Tier 3
GS안과의원,"24,900,000,000","67,018",헬스케어 | Healthcare,"1,000,000",,,Tier 4
르그랑코리아,"50,600,000,000","12,193",제조 & 유통 | Manufacturing & Distribution,"800,000","697,387","697,387",Tier 4
굿서비스,"25,100,000,000","3,134",B2B & 솔루션 | B2B & Solutions,"1,500,000",,,Tier 5
윗유,"33,200,000,000","10,606",B2B & 솔루션 | B2B & Solutions,"1,200,000",,,Tier 4
리맴버컴퍼니,"68,400,000,000","14,326",기타 | Others,"1,000,000","1,009,213","1,009,213",Tier 3
한독,"543,759,000,000","120,292",헬스케어 | Healthcare,"2,000,000","2,021,500","2,021,500",Tier 3
이지수능교육,"124,000,000,000","25,698",교육 | Education,"500,000",,,Tier 3
이엠케이,"3,800,000,000","13,995",기타 | Others,"700,000","516,552","516,552",Tier 4
바이크맥스,"6,800,000,000","91,380",렌탈 & 모빌리티 | Rental & Mobility,"500,000",,,Tier 4
억셉트커피,"5,000,000,000","3,434",B2B & 솔루션 | B2B & Solutions,"500,000","287,250","287,250",Tier 5
한신그레이스,"24,400,000,000","1,686",B2B & 솔루션 | B2B & Solutions,"700,000",,,Tier 5
케이지모빌리언스,"266,100,000,000","3,330,000",B2B & 솔루션 | B2B & Solutions,"3,000,000","1,500,000","1,500,000",Tier 1
브랜드홀더,"13,583,770,000","98,802",B2B & 솔루션 | B2B & Solutions,"700,000","679,387","679,387",Tier 4
보나캠프,"10,046,000,000","2,946",전문 산업군 | Professional Services,"500,000",,"422,625",Tier 5
모모스커피,"17,900,000,000","58,182",커머스 | Commerce,"500,000","268,550","268,550",Tier 4
파이온코퍼레이션,"4,100,000,000","4,545",B2B & 솔루션 | B2B & Solutions,"600,000","612,000","612,000",Tier 5
코웨이,"4,310,100,000,000","2,641,000",커머스 | Commerce,"1,000,000",,,Tier 1
석플란트치과병원,-,"85,515",헬스케어 | Healthcare,"2,000,000","1,355,700","1,355,700",
디엠씨미디어,"25,400,000,000","67,977",커머스 | Commerce,"700,000","470,887","470,887",Tier 4
서울디지털대학교,"39,700,000,000","447,424",교육 | Education,"1,800,000",,,Tier 2
엘엑스판토스,"10,672,200,000,000","190,525",B2B & 솔루션 | B2B & Solutions,"2,000,000","748,537","748,537",Tier 1
키드키즈,"60,200,000,000","531,000",교육 | Education,"1,000,000","600,637","600,637",Tier 2
주식회사 에버라인,"50,800,000,000","74,677",커머스 | Commerce,"1,500,000","1,600,000","1,600,000",Tier 4
영성실업,"11,500,000,000","21,221",커머스 | Commerce,"1,000,000","1,162,387","1,162,387",Tier 4
