Account,Annual Revenue,MAU,Vertical,MGR,commited mrr delta,total net mrr (ae),Tier
코밴,"63,400,000,000","119,073",B2B & 솔루션 | B2B & Solutions,"600,000","617,250","617,250",Tier 2
두나무,"1,709,580,000,000","289,639",B2B & 솔루션 | B2B & Solutions,"5,000,000",,,Tier 1
로지스팟,"81,517,050,000","85,471",제조 & 유통 | Manufacturing & Distribution,"2,000,000","2,000,128","2,000,128",Tier 2
현대이지웰,"126,700,000,000","46,899",커머스 | Commerce,"1,000,000","1,000,000","1,000,000",Tier 3
미디어닥터,"23,774,917,000","23,158",커머스 | Commerce,"500,000","743,137","743,137",Tier 4
엠아이티마스,"26,563,966,000","3,078",B2B & 솔루션 | B2B & Solutions,"800,000",,,Tier 5
목포대학교,"46,100,000,000","231,454",교육 | Education,"800,000",,,Tier 2
특허법인 해안,"7,000,000,000",299,전문 산업군 | Professional Services,"500,000",,,Tier 5
리카온,"20,000,000,000","13,212",B2B & 솔루션 | B2B & Solutions,"1,200,000",,,Tier 4
네슬레코리아,"490,000,000,000","21,920",제조 & 유통 | Manufacturing & Distribution,"2,000,000",,,Tier 3
신성자동차,"264,967,000,000","10,127",렌탈 & 모빌리티 | Rental & Mobility,"1,000,000",,,Tier 3
골프존,"556,966,910,000","992,555",여행 & 숙박 | Travel & Hospitality,"3,000,000",,,Tier 1
배상면주가,"28,300,000,000","117,018",커머스 | Commerce,"1,000,000","962,250","962,250",Tier 2
아주레포츠,"34,950,020,000","45,339",여행 & 숙박 | Travel & Hospitality,"700,000","195,750","195,750",Tier 4
신세계아이앤씨 (POS 사업부),"625,700,000,000","60,681",B2B & 솔루션 | B2B & Solutions,"1,200,000",,,Tier 3
케이피보험서비스(주),"2,000,000,000","3,417",기타 | Others,"3,000,000","2,706,600","2,706,600",Tier 5
퓨어다,"11,793,084,000","273,884",커머스 | Commerce,"1,000,000","808,455","808,455",Tier 2
하이비즈코리아,"5,700,000,000","5,929",커머스 | Commerce,"700,000",,,Tier 5
이스트에이드,"6,000,000,000","8,290",B2B & 솔루션 | B2B & Solutions,"500,000",,,Tier 5
투앤업,"18,300,000,000",-,커머스 | Commerce,"600,000",,,
스피드썬,"17,494,360,000","2,987",커머스 | Commerce,"900,000","569,250","569,250",Tier 5
닥터미성형외과,"9,000,000,000","2,429",헬스케어 | Healthcare,"700,000",,,Tier 5
트루엔뉴트리션,"12,800,000,000","6,950",커머스 | Commerce,"600,000",,,Tier 5
이옌,"7,000,000,000","48,473",커머스 | Commerce,"700,000","746,887","746,887",Tier 4
젠아웃도어,"2,700,000,000","147,648",커머스 | Commerce,"700,000","512,250","512,250",Tier 4
비엔케이스포츠 밤켈,"7,000,000,000","9,074",커머스 | Commerce,"500,000","617,137","617,137",Tier 5
비알티,"15,700,000,000","1,365,000",커머스 | Commerce,"1,000,000","714,750","714,750",Tier 2
농업회사법인 솔직,"7,000,000,000","11,513",커머스 | Commerce,"500,000","209,637","209,637",Tier 4
이룸넷,"10,500,000,000","5,437",B2B & 솔루션 | B2B & Solutions,"600,000",,,Tier 5
위닉스,"328,991,000,000","170,927",커머스 | Commerce,"1,500,000",,,Tier 3
웹케시,"74,100,000,000","50,026",B2B & 솔루션 | B2B & Solutions,"1,500,000","1,524,750","1,524,750",Tier 3
투데이,"7,200,000,000","9,341",커머스 | Commerce,"600,000",,"607,125",Tier 5
KFR제일렌트카,"15,400,000,000",448,렌탈 & 모빌리티 | Rental & Mobility,"1,200,000",,,Tier 5
(주)위너스텔,"4,451,206,000","10,967",전문 산업군 | Professional Services,"2,000,000",,,Tier 5
이앤에스인터내셔널,"20,000,000,000","8,423",커머스 | Commerce,"800,000",,,Tier 5
에스네이처,"9,628,161,000","15,208",커머스 | Commerce,"1,000,000","643,387","643,387",Tier 4
토스모바일,"48,100,000,000","46,238",B2B & 솔루션 | B2B & Solutions,"2,000,000",,,Tier 4
매일법률사무소,-,-,전문 산업군 | Professional Services,"700,000","295,500","295,500",
한우자조금관리위원회 블랙빈,"64,000,000,000","91,329",커머스 | Commerce,"600,000",,,Tier 2
노무법인이산,"20,400,000,000","4,724",전문 산업군 | Professional Services,"800,000",,,Tier 5
전북현대모터스,"50,100,000,000","119,953",기타 | Others,"800,000",,,Tier 2
우영,"24,600,000,000","8,483",커머스 | Commerce,"700,000","377,137","377,137",Tier 5
카카오헬스케어,"11,900,000,000","17,368",헬스케어 | Healthcare,"3,000,000",,,Tier 4
일진레져,"32,600,000,000","34,955",여행 & 숙박 | Travel & Hospitality,"700,000",,,Tier 4
아이지베스트,"12,000,000,000","115,562",커머스 | Commerce,"700,000","504,750","504,750",Tier 4
서울교통공사 (또타지하철),"1,768,370,000,000","56,636",기타 | Others,"2,000,000",,,Tier 3
코리아나화장품,"86,000,000,000","31,656",커머스 | Commerce,"500,000","969,000","969,000",Tier 3
이엠텍아이엔씨,"77,500,000,000","12,829",제조 & 유통 | Manufacturing & Distribution,"500,000","489,750","489,750",Tier 3
아이엠씨강남의원,"5,000,000,000","2,547",헬스케어 | Healthcare,"600,000",,,Tier 5
농신에프디,"23,600,000,000","31,946",커머스 | Commerce,"500,000","480,637","480,637",Tier 4
화신사이버대학교,"18,000,000,000","62,388",교육 | Education,"1,200,000",,,Tier 4
전국버스운송사업조합연합회,"561,130,000","17,032",기타 | Others,"500,000","759,250","759,250",Tier 5
CJ프레시웨이,"2,747,690,000,000","35,215",제조 & 유통 | Manufacturing & Distribution,"1,000,000",,,Tier 3
바바라앤코,"20,000,000,000","1,404,000",커머스 | Commerce,"1,000,000",,,Tier 2
한국전력공사,"91,000,000,000,000","3,031,000",기타 | Others,"5,000,000",,,Tier 1
메가엠디,"64,400,000,000","47,617",교육 | Education,"1,000,000",,,Tier 4
옴니씨앤에스,"5,000,000,000","21,618",커머스 | Commerce,"600,000","508,500","508,500",Tier 4
픽플러스,"15,900,000,000","8,050",렌탈 & 모빌리티 | Rental & Mobility,"1,000,000",,,Tier 5
(주)쏨니아,"29,100,000,000","11,054",커머스 | Commerce,"700,000","1,571,250","1,571,250",Tier 4
메이크샐러드,"4,800,000,000","73,329",커머스 | Commerce,"500,000","488,250","488,250",Tier 4
소다크루,"2,000,000,000","142,142",커머스 | Commerce,"500,000","563,250","563,250",Tier 4
행복을파는사람들,"79,100,000,000","2,355",커머스 | Commerce,"1,000,000",,,Tier 5
토파스여행정보,"33,100,000,000","17,209",여행 & 숙박 | Travel & Hospitality,"3,000,000",,,Tier 4
손해보험협회,-,"27,631",기타 | Others,"1,000,000","96,000","96,000",
하츠,"186,500,000,000","65,715",커머스 | Commerce,"2,000,000",,,Tier 3
넥스트플레이어,"51,600,000,000","12,993",커머스 | Commerce,"800,000","1,100,000","1,100,000",Tier 4
에이앤씨컴퍼니,"5,300,000,000","4,441",커머스 | Commerce,"300,000","596,137","596,137",Tier 5
로즈로드,"8,100,000,000","121,528",커머스 | Commerce,"500,000",,,Tier 4
엠리무진,"46,300,000,000","21,159",렌탈 & 모빌리티 | Rental & Mobility,"500,000","868,387","868,387",Tier 4
에이엠글로벌,"4,400,000,000","2,910",커머스 | Commerce,"600,000",,,Tier 5
한일전기씨에스,"9,400,021,000","31,701",커머스 | Commerce,"1,000,000","894,675","894,675",Tier 4
더애수,"4,900,000,000","87,521",커머스 | Commerce,"300,000","548,700","548,700",Tier 4
엔에이치커머스,"160,600,000,000","264,163",B2B & 솔루션 | B2B & Solutions,"1,000,000","1,500,000","1,500,000",Tier 2
에이비스튜디오,"6,200,000,000","183,572",커머스 | Commerce,"600,000","912,637","912,637",Tier 2
코오롱제약,"151,500,000,000","17,684",커머스 | Commerce,"500,000",,,Tier 3
애즈온,"15,000,000,000","18,487",커머스 | Commerce,"1,000,000","1,357,612","1,357,612",Tier 4
농협물류,"510,538,000,000","21,687",B2B & 솔루션 | B2B & Solutions,"2,000,000",,,Tier 3
브라이트에너지파트너스,"500,000,000","8,947",렌탈 & 모빌리티 | Rental & Mobility,"2,000,000",,,Tier 5
다영에이치앤비,"10,500,000,000","2,734",커머스 | Commerce,"1,000,000","1,645,750","1,645,750",Tier 5
아가방앤컴퍼니,"175,000,000,000","21,278",커머스 | Commerce,"1,000,000",,,Tier 3
알앤텍,"10,400,000,000","6,613",B2B & 솔루션 | B2B & Solutions,"600,000","270,750","270,750",Tier 5
서플러스글로벌,"234,921,000,000","12,919",제조 & 유통 | Manufacturing & Distribution,"600,000","72,000","72,000",Tier 3
아시아비엔씨,"40,671,464,000","5,137",커머스 | Commerce,"700,000","654,637","654,637",Tier 5
라이나원,"2,280,000,000","119,534",전문 산업군 | Professional Services,"2,000,000",,,Tier 4
한국배구연맹,-,"335,757",기타 | Others,"600,000",,,
알파모빌리티,"6,300,000,000","11,425",렌탈 & 모빌리티 | Rental & Mobility,"700,000","486,000","486,000",Tier 5
주식회사 디어커스,"12,800,000,000","16,126",커머스 | Commerce,"600,000","681,000","681,000",Tier 4
아이피씨,"25,000,000,000","9,910",커머스 | Commerce,"800,000","1,332,750","1,332,750",Tier 4
두원상선,"42,635,840,000","8,912",B2B & 솔루션 | B2B & Solutions,"600,000",,,Tier 4
안동제비원전통식품,"7,000,000,000","4,517",커머스 | Commerce,"400,000","407,250","407,250",Tier 5
젠픽스,"25,692,681,000","12,044",B2B & 솔루션 | B2B & Solutions,"800,000",,,Tier 4
유메르,"33,700,000,000","15,713",커머스 | Commerce,"1,000,000","500,048","500,048",Tier 4
에이치피앤씨,"26,600,000,000","9,299",커머스 | Commerce,"800,000","653,137","653,137",Tier 4
젠니혼주류,"22,700,000,000","1,494",커머스 | Commerce,"700,000",,,Tier 5
아이리스브라이트,"30,000,000,000","40,341",커머스 | Commerce,"2,000,000",,,Tier 4
헬리녹스,"41,200,000,000","151,394",커머스 | Commerce,"2,000,000","572,250","572,250",Tier 2
성화에프티,"5,800,000,000","7,905",제조 & 유통 | Manufacturing & Distribution,"500,000","557,137","557,137",Tier 5
코콤,"95,280,776,000","58,774",B2B & 솔루션 | B2B & Solutions,"3,000,000","4,805,250","4,805,250",Tier 3
의료법인하나로의료재단,"66,700,000,000","44,701",헬스케어 | Healthcare,"2,000,000",,,Tier 3
정남진 골프 리조트,"16,600,000,000","21,332",여행 & 숙박 | Travel & Hospitality,"600,000",,"574,500",Tier 4
뉴넥스,"19,500,000,000","156,517",커머스 | Commerce,"1,500,000",,,Tier 2
스테디라이프컴퍼니,"5,600,000,000","382,114",커머스 | Commerce,"500,000","557,137","557,137",Tier 2
저스템,"38,700,000,000","18,718",B2B & 솔루션 | B2B & Solutions,"1,000,000","1,000,000","1,000,000",Tier 4
엔씨디지텍,"58,167,483,000","2,934",커머스 | Commerce,"700,000",,,Tier 5
시큐아이,"151,700,000,000","51,237",B2B & 솔루션 | B2B & Solutions,"800,000","594,637","594,637",Tier 3
바슈롬코리아,"45,600,000,000","12,311",제조 & 유통 | Manufacturing & Distribution,"500,000","579,637","579,637",Tier 4
(주)승산,"35,877,580,000","3,837",여행 & 숙박 | Travel & Hospitality,"1,000,000","1,655,250","1,655,250",Tier 5
아이엔텍,"6,400,000,000","8,249",B2B & 솔루션 | B2B & Solutions,"900,000",,"1,114,500",Tier 5
교원,"810,900,000,000","661,563",여행 & 숙박 | Travel & Hospitality,"2,000,000","2,958,750","2,958,750",Tier 1
사단법인 국경없는의사회 한국,"67,200,000,000","78,632",기타 | Others,"2,000,000",,,Tier 2
메이저월드,"3,600,000,000","2,793",커머스 | Commerce,"2,000,000",,,Tier 5
하루플란트치과,"34,800,000,000","175,404",헬스케어 | Healthcare,"700,000",,,Tier 2
에이탑성형외과,"10,200,000,000","27,203",헬스케어 | Healthcare,"700,000",,,Tier 4
다이렉트컴즈,"62,400,000,000","44,935",전문 산업군 | Professional Services,"1,000,000",,,Tier 4
본에스티스,"40,400,000,000","15,500",커머스 | Commerce,"900,000","332,137","332,137",Tier 4
엔알커뮤니케이션,"35,500,000,000","31,118",전문 산업군 | Professional Services,"2,000,000",,,Tier 4
금방주식회사,"372,200,000,000","1,427",커머스 | Commerce,"800,000",,,Tier 3
에이이에이이ㅣNew,"152,980,000","18,893",커머스 | Commerce,"800,000","474,750","474,750",Tier 5
조텍코리아,"37,000,000,000","21,484",커머스 | Commerce,"1,300,000","744,750","744,750",Tier 4
그루앤컴퍼니,"18,100,000,000","174,082",커머스 | Commerce,"2,000,000",,,Tier 2
(주)뉴트리,"107,500,000,000","197,517",헬스케어 | Healthcare,"1,000,000","542,250","542,250",Tier 2
글로벌사이버대학교,"20,000,000,000","48,361",교육 | Education,"1,200,000","947,250","947,250",Tier 4
제주관광공사,"38,800,000,000","53,384",기타 | Others,"1,500,000",,,Tier 4
주식회사 마이페어,"300,000,000","69,203",B2B & 솔루션 | B2B & Solutions,"500,000",,,Tier 4
이레시스템,"25,200,000,000","87,881",렌탈 & 모빌리티 | Rental & Mobility,"1,000,000","2,848,500","2,848,500",Tier 4
현대엘앤씨,"939,700,000,000","17,141",전문 산업군 | Professional Services,"500,000",,,Tier 3
현대리바트,"1,870,700,000,000","1,204,000",커머스 | Commerce,"2,000,000",,,Tier 1
트랜드주식회사,"13,100,000,000","2,922",제조 & 유통 | Manufacturing & Distribution,"1,500,000",,,Tier 5
김포골드라인에스알에스,"140,000,000,000","7,429",렌탈 & 모빌리티 | Rental & Mobility,"800,000",,,Tier 3
사조대림,"1,406,700,000,000","32,510",커머스 | Commerce,"700,000","609,637","609,637",Tier 3
금호건설,"1,914,200,000,000","144,497",전문 산업군 | Professional Services,"3,000,000","3,910,500","3,910,500",Tier 1
제이씨코리아주식회사,"53,700,000,000","4,118",커머스 | Commerce,"1,500,000",,,Tier 5
동구밭,"13,200,000,000","10,737",커머스 | Commerce,"800,000",,,Tier 4
직트럭,"5,100,000,000","42,952",렌탈 & 모빌리티 | Rental & Mobility,"500,000",,,Tier 4
우인에프씨씨 (레노마수영복),"21,500,000,000","10,466",커머스 | Commerce,"1,000,000",,,Tier 4
타이드스퀘어,"43,400,000,000","86,998",여행 & 숙박 | Travel & Hospitality,"4,000,000","3,047,000","3,047,000",Tier 2
W쇼핑,"136,300,000,000","375,315",커머스 | Commerce,"2,000,000",,,Tier 2
참조은병원,"79,679,070,000","10,725",헬스케어 | Healthcare,"1,000,000","1,989,750","1,989,750",Tier 3
나무뜰,"15,400,000,000","4,345",커머스 | Commerce,"1,500,000",,,Tier 5
이누스,"253,998,000,000","14,975",커머스 | Commerce,"2,000,000",,,Tier 3
한국소프트웨어산업협회,"30,000,000,000","224,292",기타 | Others,"2,000,000","1,470,750","1,470,750",Tier 2
위코스테이,"26,100,000,000","13,414",여행 & 숙박 | Travel & Hospitality,"600,000","983,300","983,300",Tier 4
캐플릭스,"17,600,000,000","2,591",렌탈 & 모빌리티 | Rental & Mobility,"1,000,000","1,153,500","1,153,500",Tier 5
씨앤제이컴퍼니,"9,900,000,000","2,702",렌탈 & 모빌리티 | Rental & Mobility,"700,000","737,250","737,250",Tier 5
강남하트스캔의원,"10,000,000,000","11,905",헬스케어 | Healthcare,"1,500,000","450,750","450,750",Tier 4
엠티에프레저,"13,400,000,000","300,950",커머스 | Commerce,"1,000,000",,,Tier 2
카멜인터내셔널,"28,700,000,000","49,021",커머스 | Commerce,"1,200,000","700,065","700,065",Tier 4
허라트,"126,204,000","13,105",커머스 | Commerce,,,,Tier 5
카리스로지스,"42,000,000,000","2,748",제조 & 유통 | Manufacturing & Distribution,"2,000,000","1,800,000","1,800,000",Tier 5
롯데마트,"5,900,000,000,000","369,956",커머스 | Commerce,"2,000,000",,,Tier 1
주식회사 큐비스트,"9,000,000,000","15,950",커머스 | Commerce,"600,000",,,Tier 4
삼신,"20,000,000,000","6,994",커머스 | Commerce,"700,000","1,153,700","1,153,700",Tier 5
브람스생활건강,"23,200,000,000","22,580",커머스 | Commerce,"1,200,000",,,Tier 4
대상,"3,485,020,087,000","19,571",커머스 | Commerce,"4,000,000",,,Tier 3
유니정보,"15,800,000,000","12,890",커머스 | Commerce,"1,000,000","1,423,387","1,423,387",Tier 4
그레이월드와이드코리아,"26,200,000,000","105,416",전문 산업군 | Professional Services,"1,000,000",,,Tier 2
한가람문구,"10,400,000,000","21,963",커머스 | Commerce,"500,000",,,Tier 4
한국수목원정원관리원,"82,500,000,000","35,924",기타 | Others,"700,000",,,Tier 3
코레일유통,"338,900,000,000","22,210",전문 산업군 | Professional Services,"2,000,000",,,Tier 3
더솔라이브러리,"40,000,000,000","76,744",커머스 | Commerce,"1,000,000","767,250","767,250",Tier 4
트리콜모빌리티,"13,500,000,000",-,렌탈 & 모빌리티 | Rental & Mobility,"2,000,000","945,750","945,750",
하이모,"76,700,000,000","117,002",커머스 | Commerce,"1,200,000","308,250","308,250",Tier 2
유웨이어플라이,"14,204,353,000","1,254,000",교육 | Education,"1,000,000",,,Tier 2
남양유업,"937,300,000,000","12,561",커머스 | Commerce,"600,000","926,595","926,595",Tier 3
서울사이버대학교,"77,400,000,000","366,720",교육 | Education,"2,000,000",,,Tier 2
구구스,"58,800,000,000","1,658,000",커머스 | Commerce,"1,500,000",,,Tier 2
포비스마자르,"2,400,000,000,000","468,000",전문 산업군 | Professional Services,"2,000,000","1,471,800","1,471,800",Tier 1
우리도가,"12,803,869,000","56,713",커머스 | Commerce,"700,000","525,637","525,637",Tier 4
그린전산,"13,897,983,000","10,354",커머스 | Commerce,"600,000","362,250","362,250",Tier 4
점포라인,"8,600,000,000","623,170",B2B & 솔루션 | B2B & Solutions,"1,000,000","560,887","560,887",Tier 2
더월,"9,300,000,000","8,892",커머스 | Commerce,"600,000","808,500","808,500",Tier 5
센트리얼,"5,000,000,000","4,541",교육 | Education,"800,000",,,Tier 5
캐슬렉스서울,"19,309,399,000",-,여행 & 숙박 | Travel & Hospitality,"600,000","624,750","624,750",
대성산업,"1,871,310,000,000","40,178",B2B & 솔루션 | B2B & Solutions,"500,000",,,Tier 3
엠제이통신,"28,100,000,000",911,전문 산업군 | Professional Services,"1,000,000",,,Tier 5
아이니네트웍스,"6,100,000,000","6,546",B2B & 솔루션 | B2B & Solutions,"500,000",,,Tier 5
코팬글로벌,"132,222,519,900","362,177",커머스 | Commerce,"1,500,000",,,Tier 2
클럽다인리조트,"69,000,000,000","2,918",여행 & 숙박 | Travel & Hospitality,"600,000",,,Tier 5
에어로코리아,"17,627,480,000","4,699",커머스 | Commerce,"1,000,000","654,750","654,750",Tier 5
금호전기,"44,200,000,000","9,233",커머스 | Commerce,"800,000",,,Tier 4
직방,"97,800,000,000","90,146",기타 | Others,"2,000,000","6,186,500","6,186,500",Tier 3
에스알씨,"34,200,000,000","5,638",제조 & 유통 | Manufacturing & Distribution,"1,500,000",,,Tier 5
올박스,"65,864,088,000","6,596",커머스 | Commerce,"800,000",,,Tier 3
디얼마미,"4,200,000,000","271,361",커머스 | Commerce,"700,000","729,750","729,750",Tier 2
버즈빌,"76,700,000,000","29,770,000",B2B & 솔루션 | B2B & Solutions,"2,000,000",,,Tier 2
부안군 농업기술센터,"3,000,000,000","58,013",기타 | Others,"600,000","707,250","707,250",Tier 4
지학사,"44,391,993,000","235,860",교육 | Education,"2,000,000","747,000","747,000",Tier 2
하이원플러스,"15,200,000,000","12,824",제조 & 유통 | Manufacturing & Distribution,"500,000","924,750","924,750",Tier 4
롯데아사히주류,"160,900,000,000","14,507",제조 & 유통 | Manufacturing & Distribution,"800,000","685,095","685,095",Tier 3
한국어촌어항공단,"327,700,000,000","19,830",기타 | Others,"1,500,000","1,800,000","1,800,000",Tier 3
유베스타,"3,100,000,000","4,108",교육 | Education,"700,000","793,500","793,500",Tier 5
제이씨엘코리아,"6,400,000,000","37,191",커머스 | Commerce,"700,000",,,Tier 4
더홈,"38,984,873,000","36,702",커머스 | Commerce,"500,000",,,Tier 4
꾸까,"9,100,000,000","121,362",커머스 | Commerce,"600,000","699,750","699,750",Tier 4
(주)홍진경,"16,265,493,000","26,053",커머스 | Commerce,"700,000","1,040,887","1,040,887",Tier 4
(주)위랩,"16,200,000,000","3,724",커머스 | Commerce,"700,000","482,137","482,137",Tier 5
더블엑스코퍼레이션,"9,400,000,000","89,928",제조 & 유통 | Manufacturing & Distribution,"1,000,000",,,Tier 4
법무법인 일신 강남분사무소,"500,000,000","1,016",전문 산업군 | Professional Services,"1,200,000",,"36,000",Tier 5
에디토컴퍼니,"15,200,000,000","44,174",커머스 | Commerce,"800,000","690,750","690,750",Tier 4
헤르젠,"14,300,000,000","7,749",커머스 | Commerce,"500,000",,,Tier 5
오웬푸드셰프애찬,"39,800,000,000","5,150",커머스 | Commerce,"1,500,000","1,599,750","1,599,750",Tier 5
대형웍스,"15,400,000,000","10,328",B2B & 솔루션 | B2B & Solutions,"1,000,000","339,637","339,637",Tier 4
무이재한방병원,"10,000,000,000","7,403",헬스케어 | Healthcare,"500,000","452,137","452,137",Tier 5
주연테크,"53,000,000,000","22,159",커머스 | Commerce,"1,500,000","729,750","729,750",Tier 4
성동구도시관리공단,"30,000,000,000","61,880",기타 | Others,"2,000,000","158,250","158,250",Tier 4
와이드뷰,"45,600,000,000","18,506",커머스 | Commerce,"1,200,000",,,Tier 4
커넥트웨이브,"184,603,774,000","17,820",렌탈 & 모빌리티 | Rental & Mobility,"500,000",,,Tier 3
바인그룹,"132,800,000,000","6,139",교육 | Education,"700,000","707,250","707,250",Tier 3
시현신차장기렌터카,"19,304,937,000","1,922",렌탈 & 모빌리티 | Rental & Mobility,"700,000",,,Tier 5
엣지아이디어스,"17,000,000,000","11,200",커머스 | Commerce,"1,000,000","539,700","539,700",Tier 4
라이즈에듀케이션코리아,"27,209,454,000","12,935",교육 | Education,"700,000",,,Tier 4
한국결제네트웍스,"98,232,326,000","42,281",B2B & 솔루션 | B2B & Solutions,"2,000,000","874,750","874,750",Tier 3
이디엠에듀케이션,"15,582,790,000","4,693",교육 | Education,"1,000,000","527,137","527,137",Tier 5
주식회사 금방,"372,279,970,000","1,427",B2B & 솔루션 | B2B & Solutions,"1,500,000","617,250","617,250",Tier 3
두손식품,"4,600,000,000","10,176",커머스 | Commerce,"1,200,000",,,Tier 5
소노인터내셔널,"926,103,000,000","883,020",여행 & 숙박 | Travel & Hospitality,"1,000,000",,,Tier 1
비바넥사,"6,300,000,000","25,915",커머스 | Commerce,"600,000","512,250","512,250",Tier 4
에듀서브,"7,200,000,000","102,813",교육 | Education,"500,000",,,Tier 4
휴젤(주),"36,900,000,000","15,205",커머스 | Commerce,"1,000,000","525,637","525,637",Tier 4
큐어라이프,"11,200,000,000","4,294",커머스 | Commerce,"600,000","590,887","590,887",Tier 5
다날,"211,800,000,000","973,880",전문 산업군 | Professional Services,"2,000,000",,,Tier 2
삼성앤텍,"13,490,346,000","4,988",커머스 | Commerce,"700,000",,,Tier 5
세안에이앤에이,"30,200,000,000","31,090",여행 & 숙박 | Travel & Hospitality,"700,000",,,Tier 4
히든베이호텔,"10,044,531,000","4,000",여행 & 숙박 | Travel & Hospitality,"500,000",,,Tier 5
엠티콜렉션,"64,500,000,000","64,034",커머스 | Commerce,"800,000","852,000","852,000",Tier 4
와이제이씨,"20,978,357,000","33,575",여행 & 숙박 | Travel & Hospitality,"500,000","510,637","510,637",Tier 4
호반호텔앤리조트,"238,300,000,000","172,197",여행 & 숙박 | Travel & Hospitality,"1,500,000",,,Tier 3
idus test,"59,100,000,000","1,928,000",커머스 | Commerce,"500,000",,,Tier 2
한국문화진흥,"32,818,836,000","20,515",여행 & 숙박 | Travel & Hospitality,"1,200,000",,,Tier 4
NIE,"87,000,000,000","84,054",기타 | Others,"800,000","375,080","375,080",Tier 3
파고다아카데미,"20,905,918,000","238,853",교육 | Education,"2,000,000","2,469,000","2,469,000",Tier 2
닥터손유나의원,"20,000,000,000","11,230",헬스케어 | Healthcare,"500,000","392,250","392,250",Tier 4
엘시티매니지먼트,"14,300,000,000","15,696",여행 & 숙박 | Travel & Hospitality,"800,000","1,000,000","1,000,000",Tier 4
유니코하이테크,"15,487,035,000","27,490",제조 & 유통 | Manufacturing & Distribution,"1,500,000","871,500","871,500",Tier 4
딜리박스 중앙,"2,100,000,000","11,973",기타 | Others,"700,000",,,Tier 5
올티칭,"7,000,000,000","62,385",교육 | Education,"1,200,000",,,Tier 4
세종도시교통공사,"57,900,000,000","2,717",렌탈 & 모빌리티 | Rental & Mobility,"1,000,000",,,Tier 5
드림와이드,"6,000,000,000","4,654",여행 & 숙박 | Travel & Hospitality,"1,000,000",,,Tier 5
유한회사 미소,"9,800,000,000","176,140",전문 산업군 | Professional Services,"1,000,000",,,Tier 2
소상공인시장진흥공단,"1,390,400,000,000","2,148,000",기타 | Others,"2,000,000",,,Tier 1
천하,"14,940,756,000","36,853",커머스 | Commerce,"1,000,000","932,137","932,137",Tier 4
스테이위드,"8,500,000,000","4,778",커머스 | Commerce,"600,000","736,512","736,512",Tier 5
하이퍼플로우,"7,400,000,000","8,264",커머스 | Commerce,"800,000",,,Tier 5
에스앤디,"12,700,000,000","23,935",커머스 | Commerce,"600,000","705,637","705,637",Tier 4
푸드시그널,"5,100,000,000","3,133",커머스 | Commerce,"600,000","403,387","403,387",Tier 5
메타넷사스,"8,600,000,000","18,711",B2B & 솔루션 | B2B & Solutions,"700,000","894,637","894,637",Tier 4
윌로펌프,"233,500,000,000","5,687",B2B & 솔루션 | B2B & Solutions,"2,000,000",,,Tier 3
주식회사트루엔,"53,600,000,000","2,697",커머스 | Commerce,"1,000,000",,,Tier 5
지에스리테일,"11,626,900,000,000","802,386",제조 & 유통 | Manufacturing & Distribution,"800,000",,,Tier 1
한국케이블TV푸른방송,"15,200,000,000","13,316",기타 | Others,"2,000,000",,,Tier 4
TJ미디어,"91,400,000,000","396,358",제조 & 유통 | Manufacturing & Distribution,"1,000,000","722,250","722,250",Tier 2
이케아코리아,"625,812,469,000","227,000,000",커머스 | Commerce,"2,000,000",,,Tier 1
핸들포유,"32,221,687,000","15,041",렌탈 & 모빌리티 | Rental & Mobility,"2,000,000","598,500","598,500",Tier 4
엠피온(주),"16,600,000,000","15,044",커머스 | Commerce,"1,500,000",,,Tier 4
원스토어,"124,000,000,000","2,168,000",기타 | Others,"2,000,000",,,Tier 2
와이어트,"110,000,000,000","5,314",헬스케어 | Healthcare,"1,000,000","669,000","669,000",Tier 3
리쏘,"7,510,967,000","17,850",헬스케어 | Healthcare,"700,000",,,Tier 4
라이엇게임즈코리아,"455,300,000,000","1,029",기타 | Others,"2,000,000","2,800,750","2,800,750",Tier 3
두란노서원,"29,800,000,000","708,000",커머스 | Commerce,"600,000","572,250","572,250",Tier 2
마제스티골프,"72,900,000,000","107,944",커머스 | Commerce,"800,000","2,030,250","2,030,250",Tier 2
엘씨드인터내셔널,"10,806,611,000","5,582",커머스 | Commerce,"500,000",,,Tier 5
수원삼성블루윙즈,"21,000,000,000","39,064",전문 산업군 | Professional Services,"600,000",,,Tier 4
불스원,"45,000,000,000","14,428",커머스 | Commerce,"700,000","545,675","545,675",Tier 4
제이앤우,"22,200,000,000","87,311",커머스 | Commerce,"1,000,000",,,Tier 4
법무법인 동인,"80,300,000,000","11,570",전문 산업군 | Professional Services,"800,000",,,Tier 3
대한제과협회,"500,000,000","12,493",교육 | Education,"500,000","750,750","750,750",Tier 5
대구사이버대학교,"20,000,000,000","63,710",교육 | Education,"1,000,000","1,500,000","1,500,000",Tier 4
하이라이트브랜즈,"248,740,960,000","42,250",커머스 | Commerce,"500,000","300,750","300,750",Tier 3
휴롬엘에스,"133,800,000,000","523,472",커머스 | Commerce,"2,000,000",,,Tier 2
올댓페이,"9,174,441,000","49,533",B2B & 솔루션 | B2B & Solutions,"2,000,000","1,500,000","1,500,000",Tier 4
GC케어 지씨케어,"40,000,000,000","12,888",헬스케어 | Healthcare,"3,000,000",,,Tier 4
