,MAU,MAU,MAU,MAU,Annual Revenue,Annual Revenue,Annual Revenue,Annual Revenue
,min,median,mean,max,min,median,mean,max
Tier,,,,,,,,
Tier 1,4813.0,883020.0,6173405.05,227000000.0,124000000000.0,1768370000000.0,10544260809000.0,263300000000000.0
Tier 2,78632.0,271361.0,1022498.68,52000000.0,1400000000.0,31400000000.0,52299110743.08,258200000000.0
Tier 3,575.0,22217.0,38706.45,228223.0,65864088000.0,201444000000.0,561583642394.87,9747210000000.0
Tier 4,8782.0,28589.0,39032.75,166385.0,300000000.0,16100000000.0,20434595805.25,64500000000.0
Tier 5,24.0,4000.0,4549.69,18893.0,37880000.0,10044531000.0,15710426485.61,89180552000.0
