Vertical,Vertical Display,MAU_q20,MAU_q40,MAU_q60,MAU_q80,MAU_q100,Annual Revenue_q20,Annual Revenue_q40,Annual Revenue_q60,Annual Revenue_q80,Annual Revenue_q100
-,-,,,,,,50000000000,50000000000,50000000000,50000000000,50000000000
B2B & 솔루션 | B2B & Solutions,B2B & Solutions,3893.0,8265.0,21356.0,68814.0,29770000.0,8240000000,17580868200,49040000000,226620000000,42000000000000
교육 | Education,Education,12019.0,50207.0,114687.0,371517.0,8995000.0,8040000000,15803694800,27323781600,68880000000,942200000000
기타 | Others,Others,14440.0,43532.0,104660.0,373855.0,52000000.0,6100000000,26880000000,89100000000,323560000000,91000000000000
렌탈 & 모빌리티 | Rental & Mobility,Rental & Mobility,3835.0,9141.0,17184.0,49898.0,22560000.0,9360000000,17478257200,40325277600,156472120000,99800000000000
여행 & 숙박 | Travel & Hospitality,Travel & Hospitality,11083.0,19226.0,38226.0,135706.0,4158000.0,10376327000,19309399000,31600000000,59581492000,926103000000
전문 산업군 | Professional Services,Professional Services,5601.0,21571.0,38760.0,158240.0,14340000.0,7000000000,21156224800,36580000000,382560000000,26431200000000
제조 & 유통 | Manufacturing & Distribution,Manufacturing & Distribution,4666.0,12264.0,27930.0,55966.0,29590000.0,11180000000,33620000000,84280000000,679220000000,263300000000000
커머스 | Commerce,Commerce,5229.0,15618.0,48081.0,186169.0,227000000.0,8020000000,15100000000,28700000000,76000000000,9780100000000
헬스케어 | Healthcare,Healthcare,3542.0,11791.0,22916.0,68358.0,1152000.0,7500186800,10000000000,18720000000,62020000000,2064800000000
