Company / Account,Lead ID,Annual Revenue,Vertical (New),MAU,연매출 구간,MAU 구간,2차 QC,티어 구분 (실시간 반영),Tier_클러스터링 기준,Tier (Vertical Quantile)
유탑건설,00QIg0000024kBk,"183,605,000,000",전문 산업군 | Professional Services,"12,953",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 5
포스코에이앤씨건축사사무소,00QIg0000024kBK,"185,081,000,000",전문 산업군 | Professional Services,"12,953",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 5
메리빌리아,00QTJ00000lhlL4,"18,492,356,000",기타 | Others,"12,890",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
동양관광레저,00QTJ00000jBZLW,"24,400,000,000",여행 & 숙박 | Travel & Hospitality,"12,870",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 4
무궁화신탁,00QIg0000024kA4,"191,437,000,000",전문 산업군 | Professional Services,"12,869",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 5
신영,00QIg0000024jdn,"575,663,000,000",전문 산업군 | Professional Services,"12,828",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 4
원익엘앤디,00QIg0000025Yd4,"13,529,815,000",여행 & 숙박 | Travel & Hospitality,"12,807",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
농협정보시스템,00QIg0000024jr2,"317,038,000,000",B2B & 솔루션 | B2B & Solutions,"12,803",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 4
퍼밋,00QTJ00000G9Y9K,"32,400,000,000",B2B & 솔루션 | B2B & Solutions,"12,800",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
렉스필드컨트리클럽,00QIg0000025Zi4,"22,658,466,000",여행 & 숙박 | Travel & Hospitality,"12,786",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 4
티지투,00QTJ00000lhlJG,"15,494,250,000",커머스 | Commerce,"12,779",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
한국알피엠,00QTJ00000lhlJg,"24,700,000,000",제조 & 유통 | Manufacturing & Distribution,"12,779",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
디에이피,00QIg0000024jpI,"333,660,000,000",제조 & 유통 | Manufacturing & Distribution,"12,755",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
이건산업,00QIg0000024jpi,"329,330,000,000",제조 & 유통 | Manufacturing & Distribution,"12,755",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
하이젠알앤엠,00QTJ00000Hk4a8,"75,838,870,000",제조 & 유통 | Manufacturing & Distribution,"12,711",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
창성,00QIg0000024k8E,"199,805,000,000",제조 & 유통 | Manufacturing & Distribution,"12,701",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 5
SBS콘텐츠허브,00QIg0000024k8e,"197,640,000,000",기타 | Others,"12,701",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 3
인천공항운영서비스,00QIg0000024xsc,"119,529,276,000",전문 산업군 | Professional Services,"12,683",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 5
리노아이엔티,00QIg0000025UU8,"16,985,130,000",커머스 | Commerce,"12,676",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
디섹,00QIg0000024jzJ,"248,341,000,000",전문 산업군 | Professional Services,"12,611",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 4
유니퀘스트,00QIg0000024jZj,"739,460,000,000",제조 & 유통 | Manufacturing & Distribution,"12,611",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
한국선재,00QIg0000024jzj,"245,486,000,000",제조 & 유통 | Manufacturing & Distribution,"12,611",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 3
바텍엠시스,00QTJ00000hXsX8,"44,200,000,000",헬스케어 | Healthcare,"12,569",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
경원건설,00QTJ00000jBUiQ,"29,589,360,000",여행 & 숙박 | Travel & Hospitality,"12,518",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 4
아라움,00QIg0000025Ytw,"45,741,019,000",제조 & 유통 | Manufacturing & Distribution,"12,514",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
한주,00QIg0000024jaP,"714,918,000,000",제조 & 유통 | Manufacturing & Distribution,"12,497",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
선인SIB,00QTJ00000GNuyc,"246,300,000,000",커머스 | Commerce,"12,405",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 3
하이퍼스,00QIg0000025We0,"25,887,984,000",제조 & 유통 | Manufacturing & Distribution,"12,310",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
머큐리,00QIg0000024kHH,"163,074,000,000",제조 & 유통 | Manufacturing & Distribution,"12,309",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 5
엘에스머트리얼즈,00QIg0000024kHh,"161,987,000,000",제조 & 유통 | Manufacturing & Distribution,"12,309",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 5
다날에프엔비,00QIg0000025a4K,"10,067,837,000",기타 | Others,"12,253",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
모아빈,00QTJ00000BvoRZ,"26,200,000,000",커머스 | Commerce,"12,232",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
멘소래담,00QIg000003GHWG,"25,489,420,000",커머스 | Commerce,"12,217",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
조윤의료재단,00QIg0000025WT9,"26,012,562,000",헬스케어 | Healthcare,"12,152",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
코리아에프티,00QIg0000024jeG,"561,044,000,000",제조 & 유통 | Manufacturing & Distribution,"12,108",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
아이엠피,00QIg0000025az7,"35,943,845,000",제조 & 유통 | Manufacturing & Distribution,"12,094",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
오션스위츠,00QTJ00000lhlNS,"10,463,786,000",여행 & 숙박 | Travel & Hospitality,"12,091",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
